-- run 1 events --
class               start      dur     rest
-- run 3 events --
class               start      dur     rest
-----               -----     ----     ----
  1 (FalVisWord)    12.00     4.00     4.00
  1 (FalVisWord)    20.00     4.00     4.00
  3 (FalAudWord)    28.00     4.00     4.00
  1 (FalVisWord)    36.00     4.00     4.00
  0 (VisWord)       44.00     4.00     8.00
  2 (AudWord)       56.00     4.00     4.00
  2 (AudWord)       64.00     4.00     4.00
  2 (AudWord)       72.00     4.00     8.00
  1 (FalVisWord)    84.00     4.00     6.00
  3 (FalAudWord)    94.00     4.00     4.00
  1 (FalVisWord)   102.00     4.00     4.00
  1 (FalVisWord)   110.00     4.00     4.00
  1 (FalVisWord)   118.00     4.00     4.00
  0 (VisWord)      126.00     4.00     6.00
  0 (VisWord)      136.00     4.00     4.00
  0 (VisWord)      144.00     4.00     6.00
  1 (FalVisWord)   154.00     4.00     4.00
  1 (FalVisWord)   162.00     4.00     4.00
  0 (VisWord)      170.00     4.00     4.00
  2 (AudWord)      178.00     4.00     4.00
  0 (VisWord)      186.00     4.00     8.00
  2 (AudWord)      198.00     4.00     4.00
  3 (FalAudWord)   206.00     4.00     4.00
  1 (FalVisWord)   214.00     4.00     4.00
  1 (FalVisWord)   222.00     4.00     8.00
  3 (FalAudWord)   234.00     4.00     8.00
  0 (VisWord)      246.00     4.00     6.00
  2 (AudWord)      256.00     4.00     4.00
  1 (FalVisWord)   264.00     4.00     4.00
  2 (AudWord)      272.00     4.00     4.00
  3 (FalAudWord)   280.00     4.00     6.00
  2 (AudWord)      290.00     4.00     4.00
  0 (VisWord)      298.00     4.00     6.00
  1 (FalVisWord)   308.00     4.00     4.00
  0 (VisWord)      316.00     4.00     4.00
  2 (AudWord)      324.00     4.00     4.00
  0 (VisWord)      332.00     4.00     8.00
  3 (FalAudWord)   344.00     4.00     8.00
  0 (VisWord)      356.00     4.00     6.00
  2 (AudWord)      366.00     4.00     6.00
  0 (VisWord)      376.00     4.00     4.00
  3 (FalAudWord)   384.00     4.00     4.00
  2 (AudWord)      392.00     4.00     6.00
  0 (VisWord)      402.00     4.00     4.00
  3 (FalAudWord)   410.00     4.00     4.00
  1 (FalVisWord)   418.00     4.00     4.00
  3 (FalAudWord)   426.00     4.00     6.00
  0 (VisWord)      436.00     4.00     4.00
  1 (FalVisWord)   444.00     4.00     6.00
  2 (AudWord)      454.00     4.00     4.00
  0 (VisWord)      462.00     4.00     8.00
  3 (FalAudWord)   474.00     4.00     6.00
  2 (AudWord)      484.00     4.00     6.00
  0 (VisWord)      494.00     4.00     6.00
  2 (AudWord)      504.00     4.00     4.00
  3 (FalAudWord)   512.00     4.00     6.00
  0 (VisWord)      522.00     4.00     6.00
  3 (FalAudWord)   532.00     4.00     6.00
  2 (AudWord)      542.00     4.00     6.00
  1 (FalVisWord)   552.00     4.00    10.00
  3 (FalAudWord)   566.00     4.00     6.00
  2 (AudWord)      576.00     4.00     4.00
  3 (FalAudWord)   584.00     4.00     4.00
  3 (FalAudWord)   592.00     4.00     4.00
  3 (FalAudWord)   600.00     4.00     6.00
  3 (FalAudWord)   610.00     4.00     4.00
  1 (FalVisWord)   618.00     4.00    16.00
  2 (AudWord)      638.00     4.00     0.00

-- run 4 events --
class               start      dur     rest
-----               -----     ----     ----
  3 (FalAudWord)    12.00     4.00     4.00
  2 (AudWord)       20.00     4.00     8.00
  3 (FalAudWord)    32.00     4.00     4.00
  2 (AudWord)       40.00     4.00     4.00
  3 (FalAudWord)    48.00     4.00     4.00
  0 (VisWord)       56.00     4.00     6.00
  2 (AudWord)       66.00     4.00     4.00
