,Run,TrialN,ProcedureID,Procedure,Font,ITISec,target1,target2,target3,target4,Expected_Response
0,4.0,0.0,0,Null,Arial,14.0,,,,,0
61,4.0,1.0,3,FalVisProc,Wingdings,12.0,twizy,`uly,^izk,`ozk,0
68,4.0,2.0,3,FalVisProc,Wingdings,12.0,tyst,s^azy,tyam,zost,0
21,4.0,3.0,1,VisProc,Arial,10.0,curb,flash,front,pick,0
86,4.0,4.0,4,FalAudProc,Arial,10.0,trade_fal,feed_fal,step_fal,wife_fal,0
27,4.0,5.0,2,AudProc,Arial,14.0,foot,game,soil,wide,0
78,4.0,6.0,4,FalAudProc,Arial,8.0,sick_fal,strike_fal,wish_fal,please_fal,0
70,4.0,7.0,3,FalVisProc,Wingdings,8.0,fyyl,zhan_y,ho^y,daty,0
67,4.0,8.0,3,FalVisProc,Wingdings,8.0,zall,book,d`ivy,zhyzk,0
23,4.0,9.0,1,VisProc,Arial,8.0,gain,join,birth,fight,0
69,4.0,10.0,3,FalVisProc,Wingdings,10.0,sto^,movy,tu`n,tu`n,1
8,4.0,11.0,1,VisProc,Arial,10.0,bar,force,mouse,sheet,0
57,4.0,12.0,3,FalVisProc,Wingdings,8.0,blozk,hall,`yazh,fya`,0
29,4.0,13.0,2,AudProc,Arial,10.0,love,jazz,truck,truck,1
6,4.0,14.0,1,VisProc,Arial,10.0,duck,jog,loose,tack,0
30,4.0,15.0,2,AudProc,Arial,10.0,gross,start,plan,sleep,0
1,4.0,16.0,1,VisProc,Arial,12.0,bed,grass,tape,view,0
31,4.0,17.0,2,AudProc,Arial,8.0,full,draw,fort,vote,0
76,4.0,18.0,4,FalAudProc,Arial,8.0,rear_fal,band_fal,guess_fal,safe_fal,0
12,4.0,19.0,1,VisProc,Arial,8.0,wart,tall,purse,purse,1
42,4.0,20.0,2,AudProc,Arial,10.0,lost,chief,clean,park,0
35,4.0,21.0,2,AudProc,Arial,8.0,claim,play,tree,smile,0
17,4.0,22.0,1,VisProc,Arial,8.0,floor,joke,spot,stay,0
32,4.0,23.0,2,AudProc,Arial,12.0,pull,dress,late,nine,0
65,4.0,24.0,3,FalVisProc,Wingdings,8.0,savy,zhild,wyst,wyst,1
73,4.0,25.0,4,FalAudProc,Arial,8.0,desk_fal,trip_fal,gold_fal,text_fal,0
33,4.0,26.0,2,AudProc,Arial,8.0,film,nice,trust,trust,1
74,4.0,27.0,4,FalAudProc,Arial,10.0,mass_fal,ground_fal,wheel_fal,wheel_fal,1
39,4.0,28.0,2,AudProc,Arial,12.0,build,chair,cold,deal,0
84,4.0,29.0,4,FalAudProc,Arial,8.0,gross_fal,start_fal,plan_fal,sleep_fal,0
54,4.0,30.0,3,FalVisProc,Wingdings,14.0,_`ow,hyat,loosy,danzy,0
45,4.0,31.0,2,AudProc,Arial,10.0,trade,feed,step,wife,0
18,4.0,32.0,1,VisProc,Arial,16.0,curse,drink,light,cup,0
48,4.0,33.0,3,FalVisProc,Wingdings,16.0,t`uy,_`ass,th`oa,fo`t,0
82,4.0,34.0,4,FalAudProc,Arial,8.0,late_fal,nine_fal,pull_fal,dress_fal,0
93,4.0,35.0,4,FalAudProc,Arial,14.0,love_fal,jazz_fal,truck_fal,truck_fal,1
24,4.0,36.0,2,AudProc,Arial,8.0,please,sick,strike,wish,0
85,4.0,37.0,4,FalAudProc,Arial,8.0,build_fal,chair_fal,cold_fal,deal_fal,0
64,4.0,38.0,3,FalVisProc,Wingdings,12.0,stay,stand,b`yak,d`o^,0
77,4.0,39.0,4,FalAudProc,Arial,8.0,pool_fal,wall_fal,firm_fal,rich_fal,0
90,4.0,40.0,4,FalAudProc,Arial,8.0,lost_fal,chief_fal,clean_fal,park_fal,0
66,4.0,41.0,3,FalVisProc,Wingdings,8.0,son_,food,sha`y,b`in_,0
14,4.0,42.0,1,VisProc,Arial,10.0,risk,stand,talk,talk,1
11,4.0,43.0,1,VisProc,Arial,10.0,camp,flare,speak,hall,0
5,4.0,44.0,1,VisProc,Arial,8.0,cart,dance,flesh,sheep,0
13,4.0,45.0,1,VisProc,Arial,8.0,glare,foam,storm,wig,0
94,4.0,46.0,4,FalAudProc,Arial,10.0,slow_fal,land_fal,bank_fal,girl_fal,0
71,4.0,47.0,3,FalVisProc,Wingdings,8.0,sya`z,nya`,f`ont,lyavy,0
28,4.0,48.0,2,AudProc,Arial,18.0,post,roof,wild,choice,0
