Run,TrialN,Procedure,Font,StartTR2000,ITI2000,StartTR650,ITI650,Condition,target1,target2,target3,target4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,global trigger time,testMonitor,global time,stim1_time,stim2_time,stim3_time,stim4_time,sync,end_break,abort,Choose,RUN,TR,ID,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,99,2000,0,2022_Feb_09_1734,fastloc_malins_v4,59.94737663427663,
,,,,,,,,,,,,,,,,,t,12.90360631799922,,,,,,,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,99,2000,0,2022_Feb_09_1734,fastloc_malins_v4,59.94737663427663,
1,0,Null,Arial,0,6,0,0,1, , , , ,0,0,0,0,,,3.5868338010004663,16.505725244998757,0.0484160840005643,0.9991780090003886,1.9998782630009373,3.000917089999348,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,99,2000,0,2022_Feb_09_1734,fastloc_malins_v4,59.94737663427663,
1,1,FalVisProc,Wingdings,6,6,0,0,3,t`uy,_`ass,th`oa,fo`t,0,1,1,1,,,5.986744841000473,22.49360099600017,6.003215859000193,6.987401677000889,7.988164399999732,8.988986050000676,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,99,2000,0,2022_Feb_09_1734,fastloc_malins_v4,59.94737663427663,
