Run,TrialN,Procedure,Font,StartTR2000,ITI2000,StartTR650,ITI650,Condition,target1,target2,target3,target4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,global trigger time,testMonitor,global time,stim1_time,stim2_time,stim3_time,stim4_time,trial_duration,sync,end_break,abort,Choose,RUN,TR,ID,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
,,,,,,,,,,,,,,,,,t,11.977038349001305,,,,,,,,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
1,0,Null,Arial,0,5,0,0,0, , , , ,0,0,0,0,,,3.5550297549998504,15.579235485000027,0.06512753399874782,0.9994481819994689,2.0003434129994275,3.0010422420000396,,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
1,1,AudProc,Arial,10,5,0,0,2,post,roof,wild,choice,0,1,1,1,,,,25.670783666000716,9.989987572000246,10.990798339998946,11.99185134399886,12.99264240299999,10.090382997001143,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
1,2,AudProc,Arial,15,5,0,0,2,build,chair,cold,deal,0,2,2,2,,,,30.32451006700103,14.99411640299877,15.995174137000504,16.995894609999596,17.99668909600041,4.652531337000255,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
1,3,AudProc,Arial,20,5,0,0,4,claim_fal,tree_fal,smile_fal,play_fal,0,3,3,3,,,,35.4287784950011,19.998306841000158,20.999258841999108,21.999932951999654,23.000716243999705,5.103402180999183,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
1,4,AudProc,Arial,25,5,0,0,4,desk_fal,trip_fal,gold_fal,text_fal,0,4,4,4,,,,40.499634414001775,25.00257497599887,26.003363903999343,26.987544567999066,27.98841472999993,5.070016683999711,t,space,escape,RUN 0 for Sound Test; RUN 1-8 for task,0,2000,0,2022_Feb_09_1725,fastloc_malins_v4,59.99848431800217,
